text,review_index,text_processed
IMPOSIBLE DESCANSAR,0,imposible descansar
"El fin de semana mi pareja y yo hicimos una reserva en este hotel, con el fin de descansar y desconectar, fue sólo una noche y menos mal",0,fin semana pareja hicimos reserva fin descansar desconectar solo noche menos mal
Nos llevaron a un ala bastante apartada del hotel porque nos dijeron que era mejor para descansar ya que la parte de fuera era muy “jaleosa”,0,llevaron ala bastante apartada dijeron mejor descansar parte jaleosa
"Nos pareció bien porque era justo lo que buscábamos, y cuál fue nuestra sorpresa? Desde las 6 de la mañana con ruidos, primero lo que suponemos que eran unos tacones en la habitación de arriba (de eso no tiene culpa el hotel, obviamente) y después sobre las 7 o poco más, las limpiadoras moviendo muebles y arrastrando sofás o lo que fuera",0,parecio bien justo buscabamos sorpresa 6 manana ruidos primero suponemos tacones habitacion arriba no culpa obviamente despues 7 limpiadoras moviendo muebles arrastrando sofas
"Habíamos cogido sólo alojamiento para descansar, pensando en no tener que madrugar como habitualmente, pero fue IMPOSIBLE por los ruidos constantes",0,cogido solo alojamiento descansar pensando no tener madrugar habitualmente imposible ruidos constantes
Por destacar algo…,0,destacar
SIN CALEFACCIÓN OPERATIVA Y CON FRÍO,1,sin calefaccion operativa frio
Calefacción averiada o no operativa,1,calefaccion averiada no operativa
Se comenta en recepción y no me hacen caso,1,comenta recepcion no hacen caso
reitero y tampoco ni caso,1,reitero tampoco caso
Pasé frío,1,pase frio
No es admisible en ningún hotel pero menos en un hotel de esta supuesta categoría,1,no admisible ningun menos supuesta categoria
Deja bastante que desear,2,deja bastante desear
Este hotel ha bajado notoriamente su categoria,2,bajado notoriamente categoria
Sus habitaciones son bastante hostiles y el Room service es pesimo,2,habitaciones bastante hostiles room service pesimo
No ponen amenities en el baño y las toallas son viejas,2,no ponen amenities bano toallas viejas
La ducha no tiene presion,2,ducha no presion
Deberian de preocuparse un poco mas por dar mejor servicio,2,deberian preocuparse dar mejor servicio
Desastre de ascensores,3,desastre ascensores
"Son pequeños, se bloquean y son insuficientes para el tamaño del hotel",3,pequenos bloquean insuficientes tamano
La mayoría de los clientes tenían que usar las escaleras ,3,mayoria clientes usar escaleras
"Yo estuve en una 6 planta,y encima a la llegadano funcionaba la cerradura de la habitación y baje dos veces más a recepción",3,6 plantay encima llegadano funcionaba cerradura habitacion baje dos veces recepcion
Un desastre,3,desastre
Mal mal y mal,4,mal mal mal
Mal mal y mal,4,mal mal mal
Una enorme diferencia de trato con familia a trabajo,4,enorme diferencia trato familia trabajo
"Empecemos por la recepción, la reserva no les figuraba, me descargo la app ya que a ellos nos les figura",4,empecemos recepcion reserva no figuraba descargo app figura
"Una vez la tengo en pantalla y se la muestro, me dicen que ahora sí",4,vez pantalla muestro dicen ahora
No tienen la cama supletoria lista por supuesto,4,no cama supletoria lista supuesto
"Ruido en la habitación, hay toda una maquinario de un extractor en el",4,ruido habitacion toda maquinario extractor
propio baño!!! Moqueta de,4,propio bano moqueta
"los pasillos, vieja, sucia y con olor a tabaco",4,pasillos vieja sucia olor tabaco
"Piscina, aquí viene el surrealismo",4,piscina aqui viene surrealismo
"Está cerrada al público, si bien por el clima está llena",4,cerrada publico bien clima llena
Sirven un cóctel de empresa pero como cliente no puedo subir una bebida en cristal,4,sirven coctel empresa cliente no puedo subir bebida cristal
Y esto en 1 día y medio,4,1 dia medio
"Never again, y seguro nunca me traigo un grupo aquí de trabajo",4,never again seguro nunca traigo grupo aqui trabajo
Sigo aquí pero quiero cambiarme de hotel,5,sigo aqui quiero cambiarme
El hotel fantástico,5,fantastico
Los desayunos  muy buenos pero la recepcionista del lunes 18bde octubre en la mañana  es una grosera que trata mal a los huéspedes,5,desayunos buenos recepcionista lunes 18bde octubre manana grosera trata mal huespedes
No se qué le pasa pero si pudiera cambiaria hoy mismo de hotel,5,no pasa pudiera cambiaria hoy mismo
"Está mañana con un tema de la llave me regaña y me hace sentir  mal, como si hubiese tenido yo la culpa que mi llave no funcionará  ",5,manana tema llave regana hace sentir mal culpa llave no funcionara
Esa actitud de superioridad que no entiendo,5,actitud superioridad no entiendo
Cero actitud de servicio,5,cero actitud servicio
Más errores que aciertos,6,errores aciertos
"Una experiencia muy agridulce, por no decir pésima",6,experiencia agridulce no decir pesima
"Llegamos al hotel, teníamos dos reservas una para el sábado noche en The Level, hab",6,llegamos dos reservas sabado noche the level hab
"normal, y otra para el domingo en Junior suite",6,normal domingo junior suite
"Cuándo llegamos al check-in nos comunicaron que no tendríamos que hacer ningún tipo de check-out y check-in ya que la habitación, junior suite estaría disponible pronto",6,llegamos check in comunicaron no hacer ningun tipo check out check in habitacion junior suite disponible pronto
"Una vez terminamos el check-in, subimos a la habitación y tuvimos que bajar nuevamente ya que la habitación estaba sin hacer",6,vez terminamos check in subimos habitacion bajar nuevamente habitacion sin hacer
"Nos dieron otra habitación, misma planta, mismas características",6,dieron habitacion misma planta mismas caracteristicas
"10 minutos más tarde, room-service nos trajo un ""detalle"" que consistía en dos botellitas de agua y unas chuches",6,10 minutos tarde room service trajo detalle consistia dos botellitas agua unas chuches
"Me imagino que harían, o cual sería el detalle si los huéspedes tuviesen 30 años más",6,imagino harian detalle huespedes 30 anos
Se me cae la cara de verguenza si…,6,cae cara verguenza
"Todo fabuloso , hasta que vas",7,fabuloso vas
"Asi fue , todo muy bonito fotos , experiencias , entras el personal y la primera…",7,asi bonito fotos experiencias entras personal primera
Ninguna manera de cargar tu coche… la segunda? Una suite en una tercera planta debajo de una discoteca?Pues si al parecer e,7,ninguna manera cargar coche segunda suite tercera planta debajo discotecapues parecer
Ese hotel si,7,
No recomendado,8,no recomendado
Fuimos a una oposición y escogimos este hotel por cercanía a la prueba con desayuno incluido al llegar nos dijeron que cafetería no abría hasta las 7,8,oposicion escogimos cercania prueba desayuno incluido llegar dijeron cafeteria no abria 7
"30, dijimos que nos reembolsaran el desayuno y no lo hicieron, nos montaron un desayuno en recepción nefasto con máquina de café estropeada incluida",8,30 dijimos reembolsaran desayuno no hicieron montaron desayuno recepcion nefasto maquina cafe estropeada incluida
En definitiva nos fuimos al examen sin desayunar,8,definitiva examen sin desayunar
Mal servicio,9,mal servicio
Conozco este hotel por varios años,9,conozco varios anos
En principio jamás me han cobrado el parquin,9,principio jamas cobrado parquin
"En esta ocasión pregunté, como siempre, en recepción por el parquin y muy amablemente me dijo el recepcionista que sin problema, como siempre",9,ocasion pregunte siempre recepcion parquin amablemente dijo recepcionista sin problema siempre
"Mi sorpresa es que al ir a entregar la llave y validar el tiquet, me dice el señor de recepción, bastante serio, que me lo iba a cobrar, le hice saber lo que me dijo su compañero, y casi sin mirarme, obviandome completamente me larga la nota de cargo del parquin, por 10 euros",9,sorpresa ir entregar llave validar tiquet dice senor recepcion bastante serio iba cobrar hice saber dijo companero casi sin mirarme obviandome completamente larga nota cargo parquin 10 euros
"Cantidad ridícula, pero actuación nefasta del recepcionista que me lleva a no volver a ese hotel en mis viajes a Sevilla",9,cantidad ridicula actuacion nefasta recepcionista lleva no volver viajes sevilla
Recepcionista desagradable ,10,recepcionista desagradable
